,ids
847,Tennis-v4
848,TennisDeterministic-v4
849,TennisNoFrameskip-v4
850,Tennis-ram-v0
851,Tennis-ramDeterministic-v0
852,Tennis-ramNoFrameskip-v0
853,Tennis-ram-v4
854,Tennis-ramDeterministic-v4
855,Tennis-ramNoFrameskip-v4
856,TimePilot-v0
857,TimePilotDeterministic-v0
858,TimePilotNoFrameskip-v0
859,TimePilot-v4
860,TimePilotDeterministic-v4
861,TimePilotNoFrameskip-v4
862,TimePilot-ram-v0
863,TimePilot-ramDeterministic-v0
864,TimePilot-ramNoFrameskip-v0
865,TimePilot-ram-v4
866,TimePilot-ramDeterministic-v4
867,TimePilot-ramNoFrameskip-v4
868,Tutankham-v0
869,TutankhamDeterministic-v0
870,TutankhamNoFrameskip-v0
871,Tutankham-v4
872,TutankhamDeterministic-v4
873,TutankhamNoFrameskip-v4
874,Tutankham-ram-v0
875,Tutankham-ramDeterministic-v0
876,Tutankham-ramNoFrameskip-v0
877,Tutankham-ram-v4
878,Tutankham-ramDeterministic-v4
879,Tutankham-ramNoFrameskip-v4
880,UpNDown-v0
881,UpNDownDeterministic-v0
882,UpNDownNoFrameskip-v0
883,UpNDown-v4
884,UpNDownDeterministic-v4
885,UpNDownNoFrameskip-v4
886,UpNDown-ram-v0
887,UpNDown-ramDeterministic-v0
888,UpNDown-ramNoFrameskip-v0
889,UpNDown-ram-v4
890,UpNDown-ramDeterministic-v4
891,UpNDown-ramNoFrameskip-v4
892,Venture-v0
893,VentureDeterministic-v0
894,VentureNoFrameskip-v0
895,Venture-v4
896,VentureDeterministic-v4
897,VentureNoFrameskip-v4
898,Venture-ram-v0
899,Venture-ramDeterministic-v0
900,Venture-ramNoFrameskip-v0
901,Venture-ram-v4
902,Venture-ramDeterministic-v4
903,Venture-ramNoFrameskip-v4
904,VideoPinball-v0
905,VideoPinballDeterministic-v0
906,VideoPinballNoFrameskip-v0
907,VideoPinball-v4
908,VideoPinballDeterministic-v4
909,VideoPinballNoFrameskip-v4
910,VideoPinball-ram-v0
911,VideoPinball-ramDeterministic-v0
912,VideoPinball-ramNoFrameskip-v0
913,VideoPinball-ram-v4
914,VideoPinball-ramDeterministic-v4
915,VideoPinball-ramNoFrameskip-v4
916,WizardOfWor-v0
917,WizardOfWorDeterministic-v0
918,WizardOfWorNoFrameskip-v0
919,WizardOfWor-v4
920,WizardOfWorDeterministic-v4
921,WizardOfWorNoFrameskip-v4
922,WizardOfWor-ram-v0
923,WizardOfWor-ramDeterministic-v0
924,WizardOfWor-ramNoFrameskip-v0
925,WizardOfWor-ram-v4
926,WizardOfWor-ramDeterministic-v4
927,WizardOfWor-ramNoFrameskip-v4
928,YarsRevenge-v0
929,YarsRevengeDeterministic-v0
930,YarsRevengeNoFrameskip-v0
931,YarsRevenge-v4
932,YarsRevengeDeterministic-v4
933,YarsRevengeNoFrameskip-v4
934,YarsRevenge-ram-v0
935,YarsRevenge-ramDeterministic-v0
936,YarsRevenge-ramNoFrameskip-v0
937,YarsRevenge-ram-v4
938,YarsRevenge-ramDeterministic-v4
939,YarsRevenge-ramNoFrameskip-v4
940,Zaxxon-v0
941,ZaxxonDeterministic-v0
942,ZaxxonNoFrameskip-v0
943,Zaxxon-v4
944,ZaxxonDeterministic-v4
945,ZaxxonNoFrameskip-v4
946,Zaxxon-ram-v0
947,Zaxxon-ramDeterministic-v0
948,Zaxxon-ramNoFrameskip-v0
949,Zaxxon-ram-v4
950,Zaxxon-ramDeterministic-v4
951,Zaxxon-ramNoFrameskip-v4
952,CartPole-v0
953,CartPole-v1
954,MountainCar-v0
955,MountainCarContinuous-v0
956,Pendulum-v1
957,Acrobot-v1
958,LunarLander-v2
959,LunarLanderContinuous-v2
960,BipedalWalker-v3
961,BipedalWalkerHardcore-v3
962,CarRacing-v1
963,CarRacingDomainRandomize-v1
964,CarRacingDiscrete-v1
965,CarRacingDomainRandomizeDiscrete-v1
966,Blackjack-v1
967,FrozenLake-v1
968,FrozenLake8x8-v1
969,CliffWalking-v0
970,Taxi-v3
971,Reacher-v2
972,Reacher-v4
973,Pusher-v2
974,Pusher-v4
975,InvertedPendulum-v2
976,InvertedPendulum-v4
977,InvertedDoublePendulum-v2
978,InvertedDoublePendulum-v4
979,HalfCheetah-v2
980,HalfCheetah-v3
981,HalfCheetah-v4
982,Hopper-v2
983,Hopper-v3
984,Hopper-v4
985,Swimmer-v2
986,Swimmer-v3
987,Swimmer-v4
988,Walker2d-v2
989,Walker2d-v3
990,Walker2d-v4
991,Ant-v2
992,Ant-v3
993,Ant-v4
994,Humanoid-v2
995,Humanoid-v3
996,Humanoid-v4
997,HumanoidStandup-v2
998,HumanoidStandup-v4
